date,d,t,cp,cpj,f1,f2,f3,f4,f5,f6,z1,z2,z3,z4,z5,z6,fz1,fz2,fz3,fz4,fz5,fz6,X1,X2,X3,X4,X5,X6
8/8/1997,644,590,12129.0,12180.200000000008,-0.02952490526470053,-0.005820993908020045,-0.00019118692026565132,0.001961802908977184,0.0,0.4496375906023492,-1.1829150681001872,-0.28263476960218314,-0.1489449960799388,0.5189726083463246,-1.3089925915590417,-0.37687814791835844,0.11842140461581069,0.38872841214338305,0.44079851772491974,0.6981100785601895,0.09526843012934788,0.35313208075251257,0.2,0.4,0.6,0.8,0.2,0.4
8/11/1997,645,591,11949.0,12166.60000000001,-0.02776712311252527,-0.008655866877343987,-0.002922532181318105,0.001739866315319638,0.0,0.4229638595884494,-1.1186960797849201,-0.3199965616795627,-0.6552808815765384,0.4365179592608875,-1.3089925915590417,-0.44778323238734596,0.13163490909703668,0.37448546850580133,0.2561434638443856,0.6687695140197889,0.09526843012934788,0.32715482288072206,0.2,0.4,0.4,0.8,0.2,0.4
8/12/1997,646,592,11810.0,12146.800000000008,-0.025076970986993685,-0.011761428593279777,-0.0043822638180354145,0.0015100019294651545,0.0,0.4144042884316099,-1.0204137939498898,-0.3609258563498398,-0.9258854519338796,0.3511179494629694,-1.3089925915590417,-0.4705365965709221,0.15376612731309075,0.3590774370103716,0.17725275625065057,0.6372500687718708,0.09526843012934788,0.31898584707678557,0.2,0.4,0.2,0.8,0.2,0.4
8/13/1997,647,593,11851.0,12012.400000000009,-0.029624076671038835,-0.02390682342142647,-0.006430568798739045,0.0012405458011006676,0.0,0.3563029569427635,-1.1865382061420469,-0.5209943042757846,-1.3055995550758737,0.2510086788732931,-1.3089925915590417,-0.6249836746654909,0.11770491132965616,0.3011853695719233,0.09584438586646588,0.5990963004052113,0.09526843012934788,0.2659908864136161,0.2,0.4,0.2,0.6,0.2,0.4
8/14/1997,648,594,11905.0,11928.800000000008,-0.028921986831735857,-0.031800399331202156,-0.00767744395401293,0.0011366247672390806,0.0,0.3201625453916653,-1.1608879859878203,-0.6250265290277753,-1.5367448609629966,0.21239957778528212,-1.3089925915590417,-0.7210534345516966,0.12284372760435952,0.2659768233294255,0.062177900383272505,0.5841023424288161,0.09526843012934788,0.23543831964036233,0.2,0.4,0.2,0.6,0.2,0.4
8/15/1997,649,595,11335.0,11770.00000000001,-0.03353795724247022,-0.04558735381349943,-0.008599748617723058,0.0009408632696459307,0.0,0.25151305550752245,-1.3295283089673955,-0.8067296713984646,-1.7077213959534379,0.1396695907089304,-1.3089925915590417,-0.9035400119431954,0.09183686627342202,0.2099111227528509,0.04384402507405976,0.5555394730236558,0.09526843012934788,0.18311968127796557,0.2,0.4,0.2,0.6,0.2,0.2
8/18/1997,650,596,11338.0,11647.800000000008,-0.03569831939730017,-0.05619985570500119,-0.008165249407970365,0.0007453662738954314,0.0,0.19625357731332937,-1.408455195217824,-0.9465955819283617,-1.6271740754609236,0.06703787226984473,-1.3089925915590417,-1.0504327719785147,0.07949816260114617,0.17192244805200724,0.05185006602733966,0.526724223355855,0.09526843012934788,0.14675959243059794,0.2,0.2,0.2,0.6,0.2,0.2
8/19/1997,651,597,11211.0,11528.00000000001,-0.03855456252898071,-0.06641053964839849,-0.007344978888981002,0.0005393236285331504,0.0,0.11996075633250092,-1.5128054664229134,-1.081165791806946,-1.4751125966352123,-0.009511802301608892,-1.3089925915590417,-1.2532371308139565,0.06516453994413829,0.13981168585929643,0.07009113719832108,0.49620539711821393,0.09526843012934788,0.10505971034121403,0.2,0.2,0.2,0.6,0.2,0.2
8/20/1997,652,598,10849.0,11327.60000000001,-0.04741561997537602,-0.08274175321059896,-0.008243343775124479,0.00011111075117997693,0.0,0.0,-1.8365362221976107,-1.2964006231679173,-1.6416511835399066,-0.16860292807829225,-1.3089925915590417,-1.572121187801979,0.033139195020069664,0.09741874875179851,0.050331156913916326,0.4330544886323573,0.09526843012934788,0.05796122429813751,0.2,0.2,0.2,0.6,0.2,0.2
8/21/1997,653,599,11180.0,11182.60000000001,-0.051444217869416886,-0.0942361780016342,-0.008607872553702545,-0.0002727255354344482,0.0,0.0,-1.983717419119062,-1.4478897070664989,-1.709227408531396,-0.31120710973877647,-1.3089925915590417,-1.572121187801979,0.023643675293906,0.07382394936447662,0.043704416861642774,0.37782158921807496,0.09526843012934788,0.05796122429813751,0.2,0.2,0.2,0.4,0.2,0.2
8/22/1997,654,600,11158.0,11147.200000000008,-0.04608849387888425,-0.09658688268013071,-0.008762346171202418,-0.0005718430940306884,0.0,0.0,-1.7880508651367126,-1.4788704742414933,-1.7378636768999445,-0.42233629723726696,-1.3089925915590417,-1.572121187801979,0.03688390090019909,0.06958746796238933,0.041117418642483194,0.3363897839927753,0.09526843012934788,0.05796122429813751,0.2,0.2,0.2,0.4,0.2,0.2
8/25/1997,655,601,11422.0,11164.00000000001,-0.03638334748893324,-0.09458695355273317,-0.008579658353999542,-0.0007050823633453218,0.016806722689076715,0.0071361821425541955,-1.433482079782429,-1.4525127019406268,-1.703997069476899,-0.47183781032568606,-1.2703510283810022,-1.55315152820167,0.07586005826870135,0.07317954997908567,0.04419081736395241,0.31852128021710113,0.1019798095075381,0.06019346913075589,0.2,0.2,0.2,0.4,0.2,0.2
8/26/1997,656,602,11626.0,11247.00000000001,-0.021620558929809963,-0.08716913837921836,-0.00776659140029945,-0.0007519697032118966,0.11534905224225729,0.042392320108742276,-0.8941368914120272,-1.3547506959600257,-1.5532709852135254,-0.4892575566213939,-1.0437851640191609,-1.459432376604911,0.1856243264674758,0.08774849995321715,0.060179204466661126,0.3123296828329504,0.14829239856992232,0.07222307013402689,0.2,0.2,0.2,0.4,0.2,0.2
